1.00000,0.00000,0.00000
1.00000,0.00000,0.00000
1.00000,0.00000,0.00000
1.00000,0.00000,0.00000
1.00000,0.00000,0.00000
0.00000,0.25098,0.50196
0.00000,0.25098,0.50196
0.00000,0.25098,0.50196
0.00000,0.25098,0.50196
0.00000,0.25098,0.50196
0.00000,0.25098,0.50196
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
1.00000,1.00000,0.00000
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
0.50196,0.00000,0.50196
